date,feature_index,NO2
2021-01-25T00:00:00.000Z,0,
2021-01-27T00:00:00.000Z,0,1.820455591260885E-5
2021-01-26T00:00:00.000Z,0,2.2381434205777217E-5
2021-01-21T00:00:00.000Z,0,2.1510476795406754E-5
2021-01-22T00:00:00.000Z,0,3.416084272493906E-5
2021-01-23T00:00:00.000Z,0,
2021-01-24T00:00:00.000Z,0,2.1215560211982976E-5
2021-01-28T00:00:00.000Z,0,
2021-02-13T00:00:00.000Z,0,1.7900646298585343E-5
2021-02-11T00:00:00.000Z,0,2.2834603441879153E-5
2021-02-08T00:00:00.000Z,0,
2021-02-06T00:00:00.000Z,0,
2021-02-12T00:00:00.000Z,0,2.1610790724935214E-5
2021-02-07T00:00:00.000Z,0,1.3484288117602962E-5
2021-02-09T00:00:00.000Z,0,
2021-02-10T00:00:00.000Z,0,
2021-03-14T00:00:00.000Z,0,4.273021477274597E-5
2021-03-15T00:00:00.000Z,0,2.0418349976125683E-5
2021-03-12T00:00:00.000Z,0,3.0438733322820815E-5
2021-03-16T00:00:00.000Z,0,
2021-03-17T00:00:00.000Z,0,
2021-03-13T00:00:00.000Z,0,2.9478871147148312E-5
2021-03-11T00:00:00.000Z,0,2.7963156753685325E-5
2021-03-10T00:00:00.000Z,0,
2021-03-30T00:00:00.000Z,0,1.4859661405353108E-5
2021-04-01T00:00:00.000Z,0,2.582328640225266E-5
2021-03-27T00:00:00.000Z,0,3.407172334846109E-5
2021-03-31T00:00:00.000Z,0,2.525172330382647E-5
2021-03-28T00:00:00.000Z,0,3.699007777413499E-5
2021-03-29T00:00:00.000Z,0,
2021-03-26T00:00:00.000Z,0,5.380426955525763E-5
2021-04-02T00:00:00.000Z,0,2.2327138263003814E-5
2021-02-01T00:00:00.000Z,0,1.8602589079819154E-5
2021-01-29T00:00:00.000Z,0,
2021-02-03T00:00:00.000Z,0,2.810773656847232E-5
2021-02-05T00:00:00.000Z,0,
2021-01-30T00:00:00.000Z,0,
2021-01-31T00:00:00.000Z,0,1.7566762142537517E-5
2021-02-04T00:00:00.000Z,0,1.8468138932803413E-5
2021-02-02T00:00:00.000Z,0,1.5313729272747877E-5
2021-02-24T00:00:00.000Z,0,2.4417295207967982E-5
2021-02-26T00:00:00.000Z,0,1.883184927464754E-5
2021-02-22T00:00:00.000Z,0,
2021-02-25T00:00:00.000Z,0,1.1309289448035997E-5
2021-02-27T00:00:00.000Z,0,2.454162849971908E-5
2021-02-23T00:00:00.000Z,0,
