date,feature_index,NO2
2020-04-30 00:00:00+00:00,0,
2020-05-01 00:00:00+00:00,0,1.3839849240563732e-05
2020-05-02 00:00:00+00:00,0,1.7797657643601078e-05
2020-05-03 00:00:00+00:00,0,2.993301374469108e-05
2020-05-04 00:00:00+00:00,0,8.513701232004678e-06
2020-05-05 00:00:00+00:00,0,
2020-05-06 00:00:00+00:00,0,1.352036289640287e-05
2020-05-07 00:00:00+00:00,0,1.4439326166253028e-05
2020-05-08 00:00:00+00:00,0,1.5804340515993925e-05
2020-05-09 00:00:00+00:00,0,
2020-05-10 00:00:00+00:00,0,5.248750909458977e-06
2020-05-11 00:00:00+00:00,0,1.6523187787242934e-05
2020-05-12 00:00:00+00:00,0,1.110845600383722e-05
2020-05-13 00:00:00+00:00,0,1.049986528811039e-05
2020-05-14 00:00:00+00:00,0,1.7080248133944614e-05
2020-05-15 00:00:00+00:00,0,7.467132680479456e-06
2020-05-16 00:00:00+00:00,0,1.799143055034213e-05
2020-05-17 00:00:00+00:00,0,1.3451739414449549e-05
2020-05-18 00:00:00+00:00,0,
2020-05-19 00:00:00+00:00,0,3.2461245479810585e-05
2020-05-20 00:00:00+00:00,0,2.780264458124293e-05
2020-05-21 00:00:00+00:00,0,2.3975879230420105e-05
2020-05-22 00:00:00+00:00,0,2.614132832652678e-05
2020-05-23 00:00:00+00:00,0,2.7135701106760132e-05
2020-05-24 00:00:00+00:00,0,3.273359613123593e-05
2020-05-25 00:00:00+00:00,0,1.6110701178856994e-05
2020-05-26 00:00:00+00:00,0,2.239102243286404e-05
2020-05-27 00:00:00+00:00,0,
2020-05-28 00:00:00+00:00,0,
2020-05-29 00:00:00+00:00,0,
2020-05-30 00:00:00+00:00,0,1.947263288976891e-05
2020-05-31 00:00:00+00:00,0,
2020-06-01 00:00:00+00:00,0,
2020-06-02 00:00:00+00:00,0,2.189273573094397e-05
2020-06-03 00:00:00+00:00,0,1.4564866815237931e-05
2020-06-04 00:00:00+00:00,0,1.5788659868344345e-05
2020-06-05 00:00:00+00:00,0,1.1450578725202831e-05
2020-06-06 00:00:00+00:00,0,2.824012109933257e-05
2020-06-07 00:00:00+00:00,0,2.47618963140457e-05
2020-06-08 00:00:00+00:00,0,1.933730209735529e-05
2020-06-09 00:00:00+00:00,0,2.015080868610263e-05
2020-06-10 00:00:00+00:00,0,1.6029784327892464e-05
2020-06-11 00:00:00+00:00,0,1.7830992558426966e-05
2020-06-12 00:00:00+00:00,0,1.5022618849040253e-05
2020-06-13 00:00:00+00:00,0,3.1247046271962445e-05
2020-06-14 00:00:00+00:00,0,
2020-06-15 00:00:00+00:00,0,1.634832525295356e-05
2020-06-16 00:00:00+00:00,0,1.4687626658727026e-05
2020-06-17 00:00:00+00:00,0,1.905799175661881e-05
2020-06-18 00:00:00+00:00,0,1.2642480568886707e-05
2020-06-19 00:00:00+00:00,0,1.536263563157634e-05
2020-06-20 00:00:00+00:00,0,1.0570036617233804e-05
2020-06-21 00:00:00+00:00,0,1.656648733346215e-05
2020-06-22 00:00:00+00:00,0,1.4454876386147722e-05
2020-06-23 00:00:00+00:00,0,1.7938133649093084e-05
2020-06-24 00:00:00+00:00,0,9.752767322850635e-06
2020-06-25 00:00:00+00:00,0,3.082895628065469e-05
